subject_id,group,group_size
sub-0050402,1,102
sub-0051000,1,102
sub-29184,3,65
sub-29284,1,102
sub-29199,8,93
sub-0050979,5,147
sub-29559,6,65
sub-29876,2,83
sub-0050964,7,39
sub-28684,7,39
sub-29057,2,83
sub-28685,8,93
sub-28909,0,53
sub-0050628,4,58
sub-0051574,5,147
sub-29671,5,147
sub-0051326,5,147
sub-0050005,1,102
sub-28799,1,102
sub-0050300,8,93
sub-28998,5,147
sub-28866,0,53
sub-0050705,4,58
sub-0050620,7,39
sub-0051297,5,147
sub-0050503,1,102
sub-0051010,7,39
sub-0051349,3,65
sub-0050321,8,93
sub-30010,1,102
sub-0050977,5,147
sub-29562,2,83
sub-29868,4,58
sub-29874,6,65
sub-0050700,8,93
sub-28939,6,65
sub-0051235,8,93
sub-0050147,3,65
sub-0050405,1,102
sub-0050022,7,39
sub-28968,6,65
sub-29201,2,83
sub-0050310,5,147
sub-29181,3,65
sub-0051028,2,83
sub-29224,8,93
sub-0050625,1,102
sub-0050293,0,53
sub-29408,4,58
sub-29798,0,53
sub-29572,4,58
sub-29668,3,65
sub-0050990,8,93
